id,long,lat,Mode,fid,h3,Commune,CodeCom
node/10078618991,-6.8733202100,33.9701963100,bus,21741,8839a865a7fffff,Agdal Riyad,1
node/10078618992,-6.8752135100,33.9682389100,bus,21741,8839a865a7fffff,Agdal Riyad,1
node/10078618993,-6.8749147100,33.9683123100,bus,21741,8839a865a7fffff,Agdal Riyad,1
node/10078618994,-6.8806799100,33.9619718100,bus,21423,8839a86e9bfffff,Agdal Riyad,1
node/10078618997,-6.8777482100,33.9567844100,bus,21427,8839a86e93fffff,Agdal Riyad,1
node/10078618998,-6.8744339100,33.9544838100,bus,5550,8839ab9b45fffff,Agdal Riyad,1
node/10078618999,-6.8720283100,33.9527021100,bus,5550,8839ab9b45fffff,Agdal Riyad,1
node/10078619000,-6.8695466100,33.9486158100,bus,5534,8839ab9b6bfffff,Agdal Riyad,1
node/10078619002,-6.8858352100,33.9404054100,bus,5533,8839ab9b6dfffff,Témara,7
node/10078619003,-6.8852629100,33.9401144100,bus,5533,8839ab9b6dfffff,Témara,7
node/10078634185,-6.8887409100,33.9343676100,bus,21413,8839a86eb3fffff,Témara,7
node/10078634186,-6.8890651100,33.9344222100,bus,21413,8839a86eb3fffff,Témara,7
node/10078634187,-6.8939151100,33.9318299100,bus,21414,8839a86eb1fffff,Témara,7
node/10078634188,-6.8974914100,33.9304873100,bus,21414,8839a86eb1fffff,Témara,7
node/10078634189,-6.9002979100,33.9293704100,bus,21412,8839a86eb5fffff,Témara,7
node/10078634190,-6.9227559100,33.9047903100,bus,21611,8839a86c13fffff,Témara,7
node/10078634191,-6.9244561100,33.9031695100,bus,21611,8839a86c13fffff,Témara,7
node/10078634192,-6.9262892100,33.9015114100,bus,21609,8839a86c17fffff,Témara,7
node/10078634193,-6.9254567100,33.8998648100,bus,21609,8839a86c17fffff,Témara,7
node/10078634194,-6.9284945100,33.8970782100,bus,21609,8839a86c17fffff,Témara,7
node/10078634195,-6.9287590100,33.8971299100,bus,21609,8839a86c17fffff,Témara,7
node/10078634197,-6.9304610100,33.8956536100,bus,21609,8839a86c17fffff,Témara,7
node/10078634198,-6.9306989100,33.8951555100,bus,21593,8839a86c3bfffff,Témara,7
node/10078956087,-6.8445294100,34.0179410100,bus,21746,8839a8659bfffff,Hassan,5
node/10078956088,-6.8443610100,34.0179299100,bus,21746,8839a8659bfffff,Agdal Riyad,1
node/10078956089,-6.8476021100,34.0141834100,bus,21746,8839a8659bfffff,Agdal Riyad,1
node/10078956090,-6.8480566100,34.0138810100,bus,21747,8839a86599fffff,Hassan,5
node/10078976728,-6.8491692100,33.9985278100,bus,21748,8839a86597fffff,Agdal Riyad,1
node/10078976729,-6.8467235100,33.9937858100,bus,21732,8839a865bbfffff,Agdal Riyad,1
node/10078976730,-6.8476001100,33.9899949100,bus,21732,8839a865bbfffff,Agdal Riyad,1
node/10078976731,-6.8474034100,33.9899038100,bus,21732,8839a865bbfffff,Agdal Riyad,1
node/10078976732,-6.8534349100,33.9852816100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/10078976733,-6.8561194100,33.9821194100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/10078976743,-6.8669670100,33.9693622100,bus,5548,8839ab9b49fffff,Agdal Riyad,1
node/10078976744,-6.8688110100,33.9667398100,bus,5548,8839ab9b49fffff,Agdal Riyad,1
node/10078976750,-6.8756824100,33.9602501100,bus,5546,8839ab9b4dfffff,Agdal Riyad,1
node/10078976751,-6.8775999100,33.9574843100,bus,21427,8839a86e93fffff,Agdal Riyad,1
node/10078976756,-6.8791839100,33.9561407100,bus,21427,8839a86e93fffff,Agdal Riyad,1
node/10078976757,-6.8829066100,33.9506550100,bus,21425,8839a86e97fffff,Agdal Riyad,1
node/10078976758,-6.8831786100,33.9507657100,bus,21425,8839a86e97fffff,Agdal Riyad,1
node/10078976770,-6.8908742100,33.9293596100,bus,21411,8839a86eb7fffff,Témara,7
node/10078976773,-6.8940329100,33.9266707100,bus,21411,8839a86eb7fffff,Témara,7
node/10078976774,-6.8937182100,33.9265676100,bus,21411,8839a86eb7fffff,Témara,7
node/10078976775,-6.9002229100,33.9206534100,bus,21545,8839a86ccbfffff,Témara,7
node/10078976776,-6.9005923100,33.9207299100,bus,21545,8839a86ccbfffff,Témara,7
node/10078976777,-6.9060872100,33.9157937100,bus,21550,8839a86cc1fffff,Témara,7
node/10078976778,-6.9060474100,33.9160643100,bus,21550,8839a86cc1fffff,Témara,7
node/10078976779,-6.9088322100,33.9143011100,bus,21550,8839a86cc1fffff,Témara,7
node/10078976780,-6.9086747100,33.9141141100,bus,21550,8839a86cc1fffff,Témara,7
node/10078976781,-6.9130522100,33.9103217100,bus,21544,8839a86ccdfffff,Témara,7
node/10078976782,-6.9131351100,33.9105510100,bus,21544,8839a86ccdfffff,Témara,7
node/10080238089,-6.7415905100,34.0033239100,bus,5595,8839ab9ac3fffff,Hssaine,6
node/10080238090,-6.7410818100,34.0031365100,bus,5595,8839ab9ac3fffff,Hssaine,6
node/10080238094,-6.7363918100,34.0122913100,bus,5585,8839ab9addfffff,Hssaine,6
node/10080238095,-6.7368828100,34.0122414100,bus,5585,8839ab9addfffff,Hssaine,6
node/10080238096,-6.7396631100,34.0158940100,bus,5585,8839ab9addfffff,Hssaine,6
node/10080238097,-6.7394364100,34.0161933100,bus,5585,8839ab9addfffff,Hssaine,6
node/10080238098,-6.7427209100,34.0181665100,bus,5591,8839ab9acbfffff,Hssaine,6
node/10080238099,-6.7424289100,34.0183870100,bus,6086,8839ab9137fffff,Hssaine,6
node/10080245029,-6.8312694100,34.0224776100,bus,5638,8839ab9a49fffff,Hassan,5
node/10080245030,-6.8291577100,34.0230670100,bus,5638,8839ab9a49fffff,Hassan,5
node/10080245031,-6.8248041100,34.0182019100,bus,5638,8839ab9a49fffff,Hassan,5
node/10080333222,-6.8270893100,34.0032356100,bus,5640,8839ab9a45fffff,El Youssoufia,3
node/10080333223,-6.8274814100,34.0016786100,bus,5640,8839ab9a45fffff,Souissi,6
node/10080333225,-6.8275229100,33.9986142100,bus,5623,8839ab9a6bfffff,Souissi,6
node/10080333226,-6.8273433100,33.9979052100,bus,5623,8839ab9a6bfffff,El Youssoufia,3
node/10080333227,-6.8245377100,33.9944246100,bus,5623,8839ab9a6bfffff,El Youssoufia,3
node/10080333228,-6.8200305100,33.9951357100,bus,5623,8839ab9a6bfffff,El Youssoufia,3
node/10080333230,-6.8182918100,33.9937069100,bus,5627,8839ab9a63fffff,El Youssoufia,3
node/10080333233,-6.8199411100,33.9868854100,bus,5627,8839ab9a63fffff,El Youssoufia,3
node/10080333234,-6.8296354100,33.9808726100,bus,5625,8839ab9a67fffff,Souissi,6
node/10080333235,-6.8294318100,33.9808715100,bus,5625,8839ab9a67fffff,Souissi,6
node/10080333238,-6.8286465100,33.9686318100,bus,5544,8839ab9b53fffff,Souissi,6
node/10080333239,-6.8284095100,33.9686897100,bus,5544,8839ab9b53fffff,Souissi,6
node/10080333240,-6.8255903100,33.9578185100,bus,5566,8839ab9b19fffff,Souissi,6
node/10080333241,-6.8243248100,33.9530961100,bus,5564,8839ab9b1dfffff,Souissi,6
node/10080333242,-6.8229452100,33.9479611100,bus,5568,8839ab9b15fffff,Souissi,6
node/10080333246,-6.8173868100,33.9149826100,bus,5700,8839ab995dfffff,Souissi,6
node/10080333247,-6.8288435100,33.8988631100,bus,5710,8839ab9947fffff,Souissi,6
node/10080555977,-6.8216767100,33.9741019100,bus,5649,8839ab9a2dfffff,El Youssoufia,3
node/10080555978,-6.8219031100,33.9752571100,bus,5649,8839ab9a2dfffff,El Youssoufia,3
node/10080555979,-6.8189196100,33.9766522100,bus,5649,8839ab9a2dfffff,El Youssoufia,3
node/10080555980,-6.8187935100,33.9765350100,bus,5649,8839ab9a2dfffff,El Youssoufia,3
node/10080555981,-6.8178523100,33.9744415100,bus,5649,8839ab9a2dfffff,El Youssoufia,3
node/10080562028,-6.8161983100,33.9779476100,bus,5651,8839ab9a29fffff,El Youssoufia,3
node/10080562029,-6.8160436100,33.9778274100,bus,5651,8839ab9a29fffff,El Youssoufia,3
node/10080562031,-6.8035581100,33.9867976100,bus,5666,8839ab9a07fffff,El Youssoufia,3
node/10080562032,-6.8037753100,33.9874097100,bus,5666,8839ab9a07fffff,El Youssoufia,3
node/10080562080,-6.8036927100,33.9896611100,bus,5666,8839ab9a07fffff,El Youssoufia,3
node/10080562203,-6.8062624100,33.9902383100,bus,5667,8839ab9a05fffff,El Youssoufia,3
node/10080562204,-6.8126041100,33.9910115100,bus,5667,8839ab9a05fffff,El Youssoufia,3
node/10080562205,-6.8176621100,33.9929404100,bus,5627,8839ab9a63fffff,El Youssoufia,3
node/10080562206,-6.8238120100,33.9943688100,bus,5623,8839ab9a6bfffff,El Youssoufia,3
node/10080562291,-6.8369993100,33.9935040100,bus,5622,8839ab9a6dfffff,Souissi,6
node/10080562292,-6.8369751100,33.9932355100,bus,5622,8839ab9a6dfffff,Souissi,6
node/10080562293,-6.8415747100,33.9941000100,bus,5622,8839ab9a6dfffff,Agdal Riyad,1
node/10080562294,-6.8432251100,33.9976566100,bus,21748,8839a86597fffff,Agdal Riyad,1
node/10080562295,-6.8510830100,34.0001729100,bus,21749,8839a86595fffff,Agdal Riyad,1
node/10080562296,-6.8560583100,34.0063620100,bus,21745,8839a8659dfffff,Agdal Riyad,1
node/10080562297,-6.8562371100,34.0066349100,bus,21745,8839a8659dfffff,Hassan,5
