fid,h3,population,surface_to,Province,Commune,CodeProv,CodeCom,pop_24,surf_comm,id,surface_in,pop_corr,Arrêts,classifica,long,lat
6083,8839ab913dfffff,1403,792977.143,Salé,Hssaine,441,6,234326,450835.6605,node/21141275,317859.5987,562,0,Non desservi,-6.75409261,34.02805141
6083,8839ab913dfffff,1403,792977.143,Salé,Layayda,441,7,229838,342141.4826,node/21141275,99595.37595,176,0,Non desservi,-6.75136651,34.03353398
6087,8839ab9135fffff,2165,792924.527,Salé,Hssaine,441,6,234326,792924.5267,node/21141275,758255.9266,2070,6,Modérément desservi,-6.74939059,34.02257091
5971,8839ab933dfffff,3225,793344.06,Salé,Layayda,441,7,229838,786833.4585,node/21141275,771264.9054,3135,4,Modérément desservi,-6.7830435,34.08555916
21593,8839a86c3bfffff,4675,794485.109,Skhirate- Témara,Témara,501,7,297098,647804.2713,node/21141275,495031.3232,2913,2,Modérément desservi,-6.93573477,33.89286448
21593,8839a86c3bfffff,4675,794485.109,Skhirate- Témara,Ain Attig,501,9,73985,146680.847,node/21141275,60815.11821,358,0,Non desservi,-6.93393544,33.89180017
21594,8839a86c39fffff,442,794583.466,Skhirate- Témara,Témara,501,7,297098,167491.2917,node/21141275,6037.521629,3,0,Non desservi,-6.94293088,33.89724807
21594,8839a86c39fffff,442,794583.466,Skhirate- Témara,Ain Attig,501,9,73985,627092.1605,node/21141275,46130.24818,26,0,Non desservi,-6.9470432,33.89497703
21610,8839a86c15fffff,7942,794538.23,Skhirate- Témara,Témara,501,7,297098,794538.2299,node/21141275,510649.1566,5104,0,Non desservi,-6.93951727,33.90064616
5591,8839ab9acbfffff,2726,792871.86,Salé,Hssaine,441,6,234326,792871.8603,node/21141275,485976.009,1671,1,Peu desservi,-6.74263666,34.01420215
6086,8839ab9137fffff,2171,792825.534,Salé,Hssaine,441,6,234326,792825.5343,node/21141275,645883.9825,1769,3,Modérément desservi,-6.73936,34.02082093
6089,8839ab9131fffff,221,792878.168,Salé,Hssaine,441,6,234326,425479.359,node/21141275,78055.16834,22,0,Non desservi,-6.73935171,34.02780875
6089,8839ab9131fffff,221,792878.168,Salé,Layayda,441,7,229838,367398.8088,node/21141275,120547.4318,34,0,Non desservi,-6.74574804,34.03274661
5585,8839ab9addfffff,8700,792772.851,Salé,Hssaine,441,6,234326,792772.851,node/21141275,709343.4298,7784,6,Modérément desservi,-6.73569609,34.01304859
5587,8839ab9ad9fffff,468,792726.507,Salé,Hssaine,441,6,234326,792726.5066,node/21141275,398564.3024,235,0,Non desservi,-6.73180486,34.02058771
5595,8839ab9ac3fffff,5970,792819.144,Salé,Hssaine,441,6,234326,792819.1442,node/21141275,786168.406,5920,7,Bien desservi,-6.74119391,34.00630694
5596,8839ab9ac1fffff,1180,792918.135,Salé,Hssaine,441,6,234326,792918.1352,node/21141275,309589.6143,461,0,Non desservi,-6.74851404,34.00658992
5589,8839ab9ad5fffff,700,792720.118,Salé,Hssaine,441,6,234326,792720.1178,node/21141275,36779.1535,32,0,Non desservi,-6.73484801,34.00831416
5593,8839ab9ac7fffff,13148,792865.386,Salé,Hssaine,441,6,234326,792865.3863,node/21141275,792865.3863,13148,12,Bien desservi,-6.74697575,33.9993121
5594,8839ab9ac5fffff,316,792964.359,Salé,Hssaine,441,6,234326,792964.359,node/21141275,319461.1416,127,0,Non desservi,-6.7541957,34.00053156
5583,8839ab9ae3fffff,280,792858.746,Salé,Hssaine,441,6,234326,792858.7455,node/21141275,50670.60768,18,0,Non desservi,-6.74426239,33.98487015
6084,8839ab913bfffff,1435,792831.758,Salé,Layayda,441,7,229838,792831.7578,node/21141275,557912.7722,1010,2,Modérément desservi,-6.736526,34.03733712
6088,8839ab9133fffff,166,792779.157,Salé,Hssaine,441,6,234326,406799.3061,node/21141275,395601.6072,83,2,Modérément desservi,-6.73335405,34.02636304
6088,8839ab9133fffff,166,792779.157,Salé,Layayda,441,7,229838,385979.851,node/21141275,315420.9984,66,0,Non desservi,-6.73416505,34.03087168
6039,8839ab91edfffff,818,792732.729,Salé,Layayda,441,7,229838,694890.8793,node/21141275,87608.79438,90,0,Non desservi,-6.73120795,34.03752757
6100,8839ab9117fffff,653,792785.297,Salé,Layayda,441,7,229838,792785.2966,node/21141275,133740.2683,110,0,Non desservi,-6.73254959,34.04023643
6101,8839ab9115fffff,1,792884.309,Salé,Layayda,441,7,229838,792884.3085,node/21141275,17988.35648,0,0,Non desservi,-6.73871758,34.0412616
21777,8839a86487fffff,5523,793721.426,Salé,Bab Lamrissa,441,3,167319,645597.3413,node/21141275,500999.7272,3486,4,Modérément desservi,-6.82758733,34.04456131
21770,8839a8649dfffff,5968,793628.782,Salé,Bab Lamrissa,441,3,167319,594650.7304,node/21141275,592794.0027,4458,4,Modérément desservi,-6.81614797,34.05764399
21772,8839a86499fffff,1406,793582.384,Salé,Bab Lamrissa,441,3,167319,354855.6953,node/21141275,158940.65,282,0,Non desservi,-6.80733442,34.06438745
21425,8839a86e97fffff,3825,794121.633,Rabat,Agdal Riyad,421,1,70435,794121.633,node/21141275,745642.5445,3591,4,Modérément desservi,-6.88497654,33.94861103
6106,8839ab9109fffff,469,793134.693,Salé,Layayda,441,7,229838,793134.693,node/21141275,359567.9189,213,0,Non desservi,-6.76851972,34.05523172
6073,8839ab9155fffff,7127,793088.203,Salé,Layayda,441,7,229838,793088.2027,node/21141275,401924.6433,3612,1,Peu desservi,-6.76229747,34.06211358
