id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/10077481153,-6.77883981,34.05532431,bus,6079,8839ab9147fffff,Tabriquet,9,441,Salé
node/10077481154,-6.77928041,34.05538201,bus,6079,8839ab9147fffff,Tabriquet,9,441,Salé
node/10077481155,-6.78546621,34.04922471,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/10077481156,-6.78563891,34.04941381,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/10077481157,-6.78858311,34.04671061,bus,6064,8839ab9169fffff,Tabriquet,9,441,Salé
node/10077481158,-6.78855001,34.04716021,bus,6064,8839ab9169fffff,Tabriquet,9,441,Salé
node/10077481159,-6.78991891,34.04444481,bus,6068,8839ab9161fffff,Bettana,5,441,Salé
node/10077481160,-6.79639021,34.03772851,bus,6062,8839ab916dfffff,Bettana,5,441,Salé
node/10077481161,-6.79658801,34.03788051,bus,6062,8839ab916dfffff,Bettana,5,441,Salé
node/10077481162,-6.79873281,34.03451251,bus,6066,8839ab9165fffff,Bettana,5,441,Salé
node/10077481163,-6.79980861,34.03482511,bus,21762,8839a864b3fffff,Bettana,5,441,Salé
node/10077787860,-6.81763621,34.04399881,bus,21759,8839a864b9fffff,Bab Lamrissa,3,441,Salé
node/10077787861,-6.81779121,34.04394501,bus,21759,8839a864b9fffff,Bab Lamrissa,3,441,Salé
node/10077787862,-6.81541991,34.04839461,bus,21774,8839a86495fffff,Bab Lamrissa,3,441,Salé
node/10077787863,-6.81566981,34.04845361,bus,21774,8839a86495fffff,Bab Lamrissa,3,441,Salé
node/10077787864,-6.81281141,34.05114411,bus,21774,8839a86495fffff,Bab Lamrissa,3,441,Salé
node/10077787865,-6.81303631,34.05122131,bus,21774,8839a86495fffff,Bab Lamrissa,3,441,Salé
node/10077787866,-6.80735861,34.05621491,bus,21776,8839a86491fffff,Bab Lamrissa,3,441,Salé
node/10077787867,-6.80724811,34.05606601,bus,21776,8839a86491fffff,Bab Lamrissa,3,441,Salé
node/10077787877,-6.79188001,34.06828301,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10077787878,-6.79190321,34.06854681,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10077787879,-6.79420961,34.07061121,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10077787880,-6.79403921,34.07076151,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10077787881,-6.79548071,34.07255061,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10077822208,-6.78341241,34.08448761,bus,5971,8839ab933dfffff,Layayda,7,441,Salé
node/10077822209,-6.77601581,34.08877241,bus,5977,8839ab9331fffff,Layayda,7,441,Salé
node/10077822210,-6.77588911,34.08893601,bus,5973,8839ab9339fffff,Layayda,7,441,Salé
